python-memory-profiler,,Utilities,Development,Programming/Scripting Languages,Python,Packages,,
autopep8,,Utilities,Development,Programming/Scripting Languages,Python,Packages,,
#pandoc-attributes,AUR,Utilities,Development,Programming/Scripting Languages,Python,Packages,,
#python-notedown,AUR,Utilities,Development,Programming/Scripting Languages,Python,Packages,,
#python-line_profiler,AUR,Utilities,Development,Programming/Scripting Languages,Python,Packages,,
julia,,Utilities,Development,Programming/Scripting Languages,Julia,,,
gnuplot,,Utilities,Development,Programming/Scripting Languages,Octave,Dependencies,,
octave,,Utilities,Development,Programming/Scripting Languages,Octave,,,
ruby,,Utilities,Development,Programming/Scripting Languages,Ruby,,,
rubygems,,Utilities,Development,Programming/Scripting Languages,Ruby,,,
perl,,Utilities,Development,Programming/Scripting Languages,Perl,,,
graphviz ,,Utilities,Development,Programming/Scripting Languages,DOT,,,
dot2tex,,Utilities,Development,Programming/Scripting Languages,DOT,,,
electron2,AUR,Utilities,Development,Programming/Scripting Languages,Web,Electron2,,
nodejs,,Utilities,Development,Programming/Scripting Languages,Web,Node.js,,
npm,,Utilities,Development,Programming/Scripting Languages,Web,Node.js,,
jupyter-notebook,,Utilities,Development,Programming/Scripting Languages,Jupyter,,,
jupyterlab,,Utilities,Development,Programming/Scripting Languages,Jupyter,,,
jupyter-metakernel,AUR,Utilities,Development,Programming/Scripting Languages,Jupyter,,,
util-linux,,Utilities,Disks,Partitioning tools,,,,
gptfdisk,,Utilities,Disks,Partitioning tools,,,,
efibootmgr,,Utilities,Disks,Formatting tools,File Systems,,,
btrfs-progs,,Utilities,Disks,Formatting tools,File Systems,,,
dosfstools,,Utilities,Disks,Formatting tools,File Systems,,,
exfat-utils,,Utilities,Disks,Formatting tools,File Systems,,,
e2fsprogs,,Utilities,Disks,Formatting tools,File Systems,,,
ntfs-3g,,Utilities,Disks,Formatting tools,File Systems,,,
xfsprogs,,Utilities,Disks,Formatting tools,File Systems,,,
#glusterfs,,Utilities,Disks,Formatting tools,File Systems,,,
fdupes,,Utilities,Disks,Disk cleaning,,,,
htop,,Utilities,System,Task managers,,,,
cronie,,Utilities,System,Command schedulers,,,,
ntp,,Utilities,System,Clock synchronization,,,,
#vim,,Documents,Documents and texts,Text editors,Console,,,
gvim,,Documents,Documents and texts,Text editors,Console,,,
libreoffice-fresh,,Documents,Documents and texts,Office,Office suites,,,
postgresql,,Documents,Documents and texts,Office,Database tools,,,
pgadmin4,,Documents,Documents and texts,Office,Database tools,,,
python-sphinx,,Documents,Documents and texts,Markup languages,reStructuredText,,,
asciidoc,,Documents,Documents and texts,Markup languages,AsciiDoc,,,
asciidoctor,,Documents,Documents and texts,Markup languages,AsciiDoc,,,
ruby-kramdown,,Documents,Documents and texts,Markup languages,Markdown,Ruby implementations,,
texlive-most,,Documents,Documents and texts,Markup languages,Typesetting systems,latex,,
biber,,Documents,Documents and texts,Markup languages,Typesetting systems,latex,,
vim-latexsuite,,Documents,Documents and texts,Markup languages,TeX editors,,,
#tikzit,AUR,Documents,Documents and texts,Markup languages,TeX editors,,,
dos2unix,,Documents,Documents and texts,Document converters,,,,
pandoc,,Documents,Documents and texts,Document converters,,,,
pandoc-citeproc,,Documents,Documents and texts,Document converters,pandoc,,,
pandoc-crossref,,Documents,Documents and texts,Document converters,pandoc,,,
poppler,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Engines,,
libspectre,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Engines,,
ghostscript,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Engines,,
djvulibre,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Engines,,
libgxps,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Engines,,
zathura,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Viewers,Graphical,
zathura-cb,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Viewers,Graphical,Comicbook support
zathura-djvu,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Viewers,Graphical,DjVu support
zathura-pdf-mupdf,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Viewers,Graphical,"EPUB, PDF and XPS support based on MuPDF"
#zathura-pdf-poppler,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Viewers,Graphical,PDF support based on Poppler
zathura-ps,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,Viewers,Graphical,PostScript support
pdftk,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,PDF tools,,
qpdf,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,PDF tools,,
pdfgrep,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,PDF tools,,
pdf2svg,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,PDF tools,,
mupdf-tools,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,PDF tools,,
ghostscript,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,PDF tools,,
djvulibre,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,DjVu tools,,
#img2djvu-git,AUR,Documents,Documents and texts,Readers and viewers,PDF and DjVu,DjVu tools,,
